material_lot_id,laminado_id,ref_materia,qty_recibida,udm,peso_bruto,uds,fecha_recepcion_ts
LOTE-20250730-031100,"A/4235 14,7X(11,4/10,8)",031100,17875.0,kg,1.19,15000.0,2025-07-30T00:00:00
LOTE-20250804-552012,"A/4071 13,1X9,1",552012,9511.0,kg,0.77,12300.0,2025-08-04T00:00:00
LOTE-20250804-081290081GJ1,"A/4426 16,4X10,1",081290/081GJ1,14826.0,kg,1.54,9600.0,2025-08-04T00:00:00
LOTE-20250805-091177,"A/3777 16,9X10,1",091177,4719.0,kg,1.23,3800.0,2025-08-05T00:00:00
LOTE-20250805-081303,"A/4032 13,6X9,6",081303,6502.0,kg,1.05,6100.0,2025-08-05T00:00:00
LOTE-20250805-081803,"A/4050 13X(10,7/11,3)",081803,8202.0,kg,1.04,7800.0,2025-08-05T00:00:00
LOTE-20250805-902081,"A/4108 19,15X13,25",902081,5156.0,kg,1.87,2700.0,2025-08-05T00:00:00
LOTE-20250806-081216,"A/3072 16,5X13,1",081216,5503.0,kg,1.52,3600.0,2025-08-06T00:00:00
LOTE-20250806-008091,"A/3596 17X12,9",008091,5856.0,kg,1.64,3500.0,2025-08-06T00:00:00
LOTE-20250806-031100,"A/4235 14,7X(11,4/10,8)",031100,7836.0,kg,1.19,6500.0,2025-08-06T00:00:00
LOTE-20250806-081290081GJ1,"A/4426 16,4X10,1",081290/081GJ1,5293.0,kg,1.54,3400.0,2025-08-06T00:00:00
LOTE-20250808-03800,"A/3526 17,5X7,9",03800,5565.0,kg,1.0,5600.0,2025-08-08T00:00:00
LOTE-20250808-563404,"A/4074 17X(8,4/9,1)",563404,15187.0,kg,1.05,14400.0,2025-08-08T00:00:00
LOTE-20250808-081147,"A/4423 14,7X12,1",081147,4057.0,kg,1.2,3300.0,2025-08-08T00:00:00
LOTE-20250828-124203,"A/3585 16,8X16,8",124203,13663.0,kg,2.04,7300.0,2025-08-28T00:00:00
LOTE-20250828-081303,"A/4032 13,6X9,6",081303,5711.0,kg,1.04,4800.0,2025-08-28T00:00:00
LOTE-20250828-031100,"A/4235 14,7X(11,4/10,8)",031100,5204.0,kg,1.19,4200.0,2025-08-28T00:00:00
LOTE-20250829-904802,"A/3037 13,6X13,6",904802,5.0,kg,1.35,3700.0,2025-08-29T00:00:00
LOTE-20250829-081602,"A/3047 13,6X13,6",081602,5.0,kg,1.54,3200.0,2025-08-29T00:00:00
LOTE-20250829-091232,"A/3074 16,8X9,6",091232,7.5,kg,1.19,6300.0,2025-08-29T00:00:00
LOTE-20250829-UN PAQUETE DEL MATERIAL SEGREGADO DEL PEDIDO Nº53758,"A/3227 25,5X11,6",UN PAQUETE DEL MATERIAL SEGREGADO DEL PEDIDO Nº53758,,kg,,,2025-08-29T00:00:00
LOTE-20250829-091177,"A/3777 16,9X10,1",091177,5.0,kg,1.23,4000.0,2025-08-29T00:00:00
LOTE-20250901-124203,"A/3585 16,8X16,8",124203,25.0,kg,2.04,12200.0,2025-09-01T00:00:00
LOTE-20250901-936205,"A/4240 28X18,2",936205,15.0,kg,5.47,2700.0,2025-09-01T00:00:00
LOTE-20250901-936105,"A/4388 30X20,7",936105,10.0,kg,7.26,1300.0,2025-09-01T00:00:00
