machine_id,machine_name,ts_cambio,piezas_hasta_cambio,scrap_hasta_cambio,duracion_cambio_min,ops_hasta_cambio
83,Talladora83,2025-09-01 19:37:00,0.0,0.0,18.0,1.0
150,Talladora150,2025-01-09 18:22:00,1136.0,4.0,35.0,16.0
150,Talladora150,2025-01-23 04:17:00,4208.0,33.0,36.0,156.0
150,Talladora150,2025-01-24 17:10:00,1143.0,0.0,33.0,17.0
150,Talladora150,2025-02-05 15:44:00,3863.0,35.0,49.0,37.0
150,Talladora150,2025-02-11 09:57:00,3030.0,0.0,169.0,18.0
150,Talladora150,2025-02-14 08:24:00,2562.0,0.0,20.0,23.0
150,Talladora150,2025-02-28 15:30:00,7697.0,118.0,21.0,55.0
150,Talladora150,2025-03-18 07:08:00,6749.0,60.0,27.0,40.0
150,Talladora150,2025-03-19 23:41:00,1467.0,3.0,18.0,13.0
150,Talladora150,2025-04-01 15:42:00,3452.0,5.0,57.0,27.0
150,Talladora150,2025-04-08 04:44:00,1927.0,31.0,31.0,23.0
150,Talladora150,2025-04-24 19:55:00,6142.0,53.0,48.0,64.0
150,Talladora150,2025-05-15 02:04:00,3690.0,126.0,47.0,47.0
150,Talladora150,2025-05-27 10:36:00,4991.0,16.0,56.0,89.0
150,Talladora150,2025-06-05 17:57:00,6931.0,8.0,38.0,40.0
150,Talladora150,2025-06-13 08:45:00,5967.0,39.0,52.0,33.0
150,Talladora150,2025-06-19 04:29:00,3168.0,23.0,30.0,39.0
150,Talladora150,2025-06-25 00:13:00,3185.0,28.0,33.0,22.0
150,Talladora150,2025-06-25 10:10:00,336.0,0.0,85.0,2.0
150,Talladora150,2025-07-03 15:06:00,4630.0,131.0,20.0,32.0
150,Talladora150,2025-07-11 12:47:00,3320.0,7.0,31.0,21.0
150,Talladora150,2025-07-29 12:13:00,2451.0,48.0,74.0,14.0
150,Talladora150,2025-08-07 07:01:00,2515.0,23.0,22.0,22.0
150,Talladora150,2025-08-07 08:18:00,0.0,0.0,56.0,1.0
151,Talladora151,2025-01-30 00:31:00,3038.0,17.0,25.0,37.0
151,Talladora151,2025-02-05 11:45:00,1553.0,33.0,56.0,15.0
151,Talladora151,2025-02-18 17:52:00,6916.0,29.0,20.0,55.0
151,Talladora151,2025-02-20 08:20:00,1735.0,0.0,4.0,13.0
151,Talladora151,2025-02-25 07:35:00,1853.0,6.0,50.0,18.0
151,Talladora151,2025-03-05 20:07:00,3791.0,5.0,10.0,38.0
151,Talladora151,2025-03-14 04:53:00,4066.0,0.0,13.0,40.0
151,Talladora151,2025-03-26 11:06:00,2539.0,2.0,15.0,16.0
151,Talladora151,2025-03-27 12:49:00,663.0,0.0,11.0,5.0
151,Talladora151,2025-04-03 07:48:00,2184.0,13.0,18.0,22.0
151,Talladora151,2025-04-10 09:13:00,2299.0,2.0,20.0,34.0
151,Talladora151,2025-04-22 21:06:00,2349.0,4.0,44.0,29.0
151,Talladora151,2025-04-24 15:32:00,1439.0,17.0,40.0,17.0
151,Talladora151,2025-05-07 11:37:00,2905.0,7.0,15.0,37.0
151,Talladora151,2025-05-13 02:29:00,1599.0,13.0,50.0,21.0
151,Talladora151,2025-05-16 00:56:00,1248.0,13.0,18.0,15.0
151,Talladora151,2025-05-21 20:32:00,1274.0,13.0,82.0,16.0
151,Talladora151,2025-05-28 11:26:00,1740.0,15.0,16.0,15.0
151,Talladora151,2025-06-02 12:11:00,1651.0,13.0,21.0,20.0
151,Talladora151,2025-06-11 06:13:00,4014.0,17.0,67.0,27.0
151,Talladora151,2025-06-16 12:57:00,2064.0,16.0,32.0,15.0
151,Talladora151,2025-06-23 16:57:00,3046.0,16.0,30.0,38.0
151,Talladora151,2025-07-03 12:40:00,5078.0,35.0,45.0,51.0
151,Talladora151,2025-07-16 07:48:00,5977.0,6.0,42.0,27.0
151,Talladora151,2025-07-17 06:16:00,221.0,0.0,7.0,2.0
151,Talladora151,2025-08-08 10:04:00,2736.0,20.0,20.0,24.0
151,Talladora151,2025-08-19 22:54:00,958.0,17.0,74.0,5.0
151,Talladora151,2025-08-27 10:14:00,1626.0,38.0,26.0,10.0
197,Talladora197,2025-01-15 09:07:00,927.0,1.0,48.0,19.0
197,Talladora197,2025-01-20 16:29:00,938.0,22.0,3.0,19.0
197,Talladora197,2025-01-20 16:35:00,0.0,0.0,49.0,1.0
197,Talladora197,2025-01-20 17:26:00,0.0,0.0,41.0,1.0
197,Talladora197,2025-01-21 12:26:00,302.0,2.0,24.0,5.0
197,Talladora197,2025-01-24 00:38:00,1456.0,0.0,1.0,16.0
197,Talladora197,2025-01-24 01:03:00,0.0,0.0,31.0,1.0
197,Talladora197,2025-02-03 22:20:00,1924.0,1.0,63.0,35.0
197,Talladora197,2025-02-05 21:03:00,494.0,0.0,65.0,24.0
197,Talladora197,2025-02-05 22:09:00,138.0,5.0,0.0,2.0
